Time (s)     Err_Time (s)     Flux (erg/cm^2/s/A)    Err_Flux (erg/cm^2/s/A)
             89.0000              11.7000    1.2473829619619908e-13    1.5969462113956047e-14
            125.5000              11.7000    6.6557929545096748e-14    8.6435987246149299e-15
            161.0000              11.7000    6.7359647180220130e-14    8.8717954818575067e-15
            197.0000              11.7000    3.5416023697687895e-14    4.7298076811902182e-15
            233.5000              11.7000    3.0005426102408528e-14    3.7032265147804409e-15
            269.5000              11.7000    3.1622761953982686e-14    4.2814691001836680e-15
            305.5000              11.7000    2.3184610107759825e-14    2.9895341095978209e-15
            360.0000              23.4000    1.7123786124170942e-14    1.6717885273794806e-15
            450.5000              35.1000    1.2787916533456316e-14    1.0835857891009580e-15
            577.5000              46.8000    9.1285077959672800e-15    7.2305931012863490e-16
            758.5000              70.2000    5.8721857923860641e-15    4.9758043532289883e-16
           1013.5000              93.6000    4.8305856476182051e-15    3.9152377486231967e-16
           1266.5000             164.8000    3.9554853958442996e-15    2.3680388463218390e-16
           1882.0000             200.1000    3.2003670029352380e-15    2.0928293302466664e-16
           2347.5000             180.0000    3.5188421431441075e-15    8.1024334710496890e-17
           2794.0000             180.0000    3.0817668822099774e-15    7.0960304897564642e-17
           3236.5000             180.0000    2.5188353661511861e-15    6.0318260821308226e-17
           3485.5000             745.5500    2.3463877466733738e-15    1.8153265041989176e-16
           5108.5000              90.0000    1.2089261664356012e-15    3.2290402315109393e-17
           6298.5000              90.0000    8.0909548020880349e-16    2.3101338796869244e-17
           7469.0000              90.0000    6.1037926692570236e-16    1.8551942671972773e-17
