PAIRITEL     89.0 J       23.4      13.766 0.107       5048.6    475.4   
PAIRITEL     89.0 H       23.4      12.050 0.109      15657.3   1501.3   
PAIRITEL     89.0 Ks      23.4      10.750 0.139      33681.7   4058.1   
PAIRITEL    125.5 J       23.4      14.195 0.110       3400.4    327.1   
PAIRITEL    125.5 H       23.4      12.569 0.112       9704.1    954.9   
PAIRITEL    125.5 Ks      23.4      11.432 0.141      17967.8   2189.1   
PAIRITEL    161.0 J       23.4      14.739 0.112       2059.3    201.3   
PAIRITEL    161.0 H       23.4      13.013 0.111       6449.1    624.1   
PAIRITEL    161.0 Ks      23.4      11.419 0.143      18176.7   2243.9   
PAIRITEL    197.0 J       23.4      14.976 0.115       1655.9    166.4   
PAIRITEL    197.0 H       23.4      13.567 0.113       3871.3    381.3   
PAIRITEL    197.0 Ks      23.4      12.117 0.145       9562.1   1193.1   
PAIRITEL    233.5 J       23.4      15.311 0.123       1216.2    130.4   
PAIRITEL    233.5 H       23.4      13.928 0.114       2776.7    277.7   
PAIRITEL    233.5 Ks      23.4      12.297 0.134       8098.3    937.6   
PAIRITEL    269.5 J       23.4      15.444 0.126       1076.5    117.8   
PAIRITEL    269.5 H       23.4      13.915 0.117       2808.4    287.9   
PAIRITEL    269.5 Ks      23.4      12.240 0.147       8535.6   1081.3   
PAIRITEL    305.5 J       23.4      15.626 0.134        909.7    105.4   
PAIRITEL    305.5 H       23.4      14.006 0.118       2582.8    266.5   
PAIRITEL    305.5 Ks      23.4      12.577 0.140       6255.4    757.7   
PAIRITEL    360.0 J       46.8      16.032 0.113        626.3     62.2   
PAIRITEL    360.0 H       46.8      14.356 0.089       1872.6    147.3   
PAIRITEL    360.0 Ks      46.8      12.906 0.106       4621.6    431.3   
PAIRITEL    450.5 J       70.2      16.312 0.109        483.8     46.3   
PAIRITEL    450.5 H       70.2      14.718 0.083       1341.6     98.2   
PAIRITEL    450.5 Ks      70.2      13.223 0.092       3452.5    279.3   
PAIRITEL    577.5 J       93.6      16.519 0.111        399.7     39.0   
PAIRITEL    577.5 H       93.6      15.189 0.087        869.0     66.8   
PAIRITEL    577.5 Ks      93.6      13.589 0.086       2464.5    188.3   
PAIRITEL    758.5 J      140.4      17.004 0.126        255.9     28.0   
PAIRITEL    758.5 H      140.4      15.729 0.098        528.7     45.8   
PAIRITEL    758.5 Ks     140.4      14.068 0.092       1585.4    128.2   
PAIRITEL   1013.5 J      187.2      17.139 0.131        225.9     25.7   
PAIRITEL   1013.5 H      187.2      15.804 0.096        493.4     41.7   
PAIRITEL   1013.5 Ks     187.2      14.280 0.088       1303.9    101.7   
PAIRITEL   1266.5 J      329.6      17.402 0.109        177.4     17.0   
PAIRITEL   1266.5 H      329.6      15.937 0.063        436.4     24.5   
PAIRITEL   1266.5 Ks     329.6      14.497 0.065       1067.8     61.7   
PAIRITEL   1882.0 J      470.9      17.807 0.133        122.1     14.0   
PAIRITEL   1882.0 H      470.9      16.124 0.081        367.2     26.4   
PAIRITEL   1882.0 Ks     400.2      14.727 0.071        863.8     54.9   
PAIRITEL   3475.5 J     1601.0      18.021 0.161        100.3     13.9   
PAIRITEL   3485.5 H     1608.8      16.522 0.092        254.6     20.6   
PAIRITEL   3485.5 Ks    1491.1      15.064 0.084        633.6     47.3   
KAIT        188.0 clear   20.0      17.501 0.055        326.0     16.1   
