Time (s)     Err_Time (s)     Flux (erg/cm^2/s/A)    Err_Flux (erg/cm^2/s/A)
             24.5000               2.5000    2.3120636291064167e-15    8.5179572023336445e-17
             31.4000               2.5000    1.7701080623615993e-15    9.7819786589496959e-17
             38.4000               2.5000    1.7864866708512328e-15    8.2270751620336981e-17
             40.8000               0.0010    2.0323559864252438e-15    1.1044027341702979e-16
             45.3000               2.5000    1.3304537388966570e-15    9.8031454367771615e-17
             52.2000               2.5000    1.2473828763636021e-15    9.1910567010610263e-17
             57.9000               0.0010    1.4696021510533009e-15    1.0422362747230059e-16
             59.1000               2.5000    9.9999948533225793e-16    7.3682685123228424e-17
             66.1000               2.5000    1.1271968780544612e-15    8.3054935383269032e-17
             73.0000               2.5000    9.6382852704314047e-16    8.8771888026658138e-17
             75.2000               0.0010    1.2405085955760607e-15    1.0511465897568675e-16
             80.0000               2.5000    8.0909548020880349e-16    8.9424537278203526e-17
             87.0000               2.5000    6.6680642200299992e-16    7.3698169375960849e-17
             91.9000               0.0010    8.8633882956413910e-16    7.9185778435024956e-17
            109.1000               0.0010    6.6865142405384286e-16    7.2670385096345454e-17
            112.2000              10.0000    5.1999572384131602e-16    3.8314700904565536e-17
            130.7000               0.0010    5.3554969022642571e-16    7.2015886091106636e-17
            141.4000              10.0000    4.0550832129213751e-16    4.1083566329235395e-17
            157.9000               0.0010    3.6745128460269139e-16    7.2086684915950824e-17
            170.5000              10.0000    2.8575890193275565e-16    3.1583241043281473e-17
            184.6000               0.0010    2.5211562814849764e-16    6.8733294215798916e-17
            188.0000              10.0000    2.1458520062708445e-16    1.0870215061362346e-17
            211.2000               0.0010    1.6504400919173485e-16    6.6884906107627597e-17
            215.0000              24.6500    1.8535306229089887e-16    2.9021801503073743e-17
            234.8000              30.0000    2.1008728391451805e-16    2.7089655523040363e-18
            238.4000               0.0010    1.4588134676258677e-16    6.5837226084815098e-17
            273.5000              24.6500    1.3803835134317882e-16    2.4156223827683096e-17
            279.0000              10.0000    1.2427957601972580e-16    9.9585176183096682e-18
            285.0000               0.0010    1.3893119258405089e-16    1.6378925736849093e-17
            320.3000              30.0000    1.2111551015412279e-16    2.2310301477955996e-18
            346.3000              39.2000    9.8174740379158140e-17    1.6276009962164764e-17
            352.2000               0.0010    1.1705763960882323e-16    1.6387738715314501e-17
            370.0000              10.0000    9.2640259110534039e-17    9.7270308407194763e-18
            418.9000               0.0010    8.0984100019465772e-17    1.4843233419367735e-17
            466.0000              10.0000    6.0089661604314416e-17    9.2978967771468424e-18
            486.1000               0.0010    9.3756149132337779e-17    1.6579700088759586e-17
            557.0000              10.0000    3.8797143883163289e-17    9.6480423259661754e-18
            563.0000             168.5000    4.7862982430965502e-17    9.2575215562862607e-18
            577.6000              30.0000    4.8528822852061158e-17    2.2348348837032701e-18
            586.3000               0.0010    5.4550628377244904e-17    1.1354914730543594e-17
            720.1000               0.0010    4.1114948994667959e-17    1.1398348516739125e-17
            741.5000             103.5000    2.6472792342884214e-17    5.2665860513819960e-18
            748.9000              30.0000    3.2033157879596723e-17    1.9472394977559714e-18
           1005.8000              30.0000    2.7874029370368732e-17    2.0281614564266212e-18
           1082.3000             341.5500    3.0199500086307971e-17    7.5099872282650668e-18
           1156.0000             240.0000    2.9702961596577001e-17    4.2130455539234068e-18
           1262.8000              30.0000    2.4957423731019398e-17    2.0917839450441183e-18
           1579.4000              60.0000    2.2304872850190293e-17    1.3969612034649537e-18
           1687.0000             219.0000    1.9952611716900855e-17    4.1715868404886145e-18
           1969.9000             536.6500    2.9922629401199065e-17    6.6143424448715145e-18
           2161.9000              60.0000    2.0455012598011273e-17    1.4695015024446821e-18
           2237.5000             292.5000    1.3702498043022870e-17    3.6977968615214157e-18
           2744.3000              60.0000    1.6857755476505626e-17    1.4750238269306280e-18
           3241.5000             307.5000    1.6873289195765826e-17    3.6676461892932997e-18
           3655.6000            1136.7500    1.3304536475977483e-17    4.5339544533786477e-18
           4105.0000             517.0000    6.1319660757517480e-18    2.8295224874953656e-18
